operation_id,start_unix_ns,end_unix_ns,latency_ms,node_count,is_global,success
op-233,1783280973206447800,1783280973227169800,20.7220,16,true,true
op-234,1783280973227169800,1783280973247900300,20.7305,16,true,true
op-235,1783280973247900300,1783280973268620600,20.7203,16,true,true
op-236,1783280973268620600,1783280973289941000,21.3204,16,true,true
op-237,1783280973289438800,1783280973311388500,21.9497,16,true,true
op-238,1783280973309879000,1783280973332108900,22.2299,16,true,true
op-239,1783280973330581500,1783280973352966000,22.3845,16,true,true
op-240,1783280973350906400,1783280973371248800,20.3424,16,true,true
op-241,1783280973371248800,1783280973392766100,21.5173,16,true,true
op-242,1783280973391763000,1783280973413790200,22.0272,16,true,true
op-243,1783280973412285000,1783280973438558300,26.2733,16,true,true
op-244,1783280973432709600,1783280973455985000,23.2754,16,true,true
op-245,1783280973452899600,1783280973476354800,23.4552,16,true,true
op-246,1783280973473081400,1783280973504154800,31.0734,16,true,true
op-247,1783280973493496600,1783280973527449800,33.9532,16,true,true
op-248,1783280973513650200,1783280973547576500,33.9263,16,true,true
op-249,1783280973534199400,1783280973568652000,34.4526,16,true,true
op-250,1783280973554506500,1783280973591077000,36.5705,16,true,true
op-251,1783280973574698000,1783280973609759500,35.0615,16,true,true
op-252,1783280973595394200,1783280973625301400,29.9072,16,true,true
op-253,1783280973616473100,1783280973650561100,34.0880,16,true,true
op-254,1783280973636938200,1783280973670082300,33.1441,16,true,true
op-255,1783280973657259200,1783280973693598300,36.3391,16,true,true
op-256,1783280973677603000,1783280973718506100,40.9031,16,true,true
op-257,1783280973698083600,1783280973744390400,46.3068,16,true,true
op-258,1783280973718506100,1783280973769442100,50.9360,16,true,true
op-259,1783280973738548900,1783280973777204400,38.6555,16,true,true
op-260,1783280973758783200,1783280973792346300,33.5631,16,true,true
op-261,1783280973778800300,1783280973810486100,31.6858,16,true,true
op-262,1783280973799258300,1783280973836481500,37.2232,16,true,true
op-263,1783280973819322900,1783280973855615000,36.2921,16,true,true
op-264,1783280973840009100,1783280973877013600,37.0045,16,true,true
op-265,1783280973860624000,1783280973897892600,37.2686,16,true,true
op-266,1783280973881147000,1783280973918832800,37.6858,16,true,true
op-267,1783280973901898500,1783280973936434400,34.5359,16,true,true
op-268,1783280973922478400,1783280973954785000,32.3066,16,true,true
op-269,1783280973942961500,1783280973974789700,31.8282,16,true,true
op-270,1783280973963286200,1783280973995312300,32.0261,16,true,true
op-271,1783280973983603700,1783280974019336300,35.7326,16,true,true
op-272,1783280974004432500,1783280974037753200,33.3207,16,true,true
op-273,1783280974024708600,1783280974060503300,35.7947,16,true,true
op-274,1783280974045292600,1783280974078081800,32.7892,16,true,true
op-275,1783280974065883600,1783280974103926900,38.0433,16,true,true
op-276,1783280974086010100,1783280974114499300,28.4892,16,true,true
op-277,1783280974106437700,1783280974141961700,35.5240,16,true,true
op-278,1783280974126707700,1783280974159565300,32.8576,16,true,true
op-279,1783280974147009900,1783280974186181900,39.1720,16,true,true
op-280,1783280974167114300,1783280974199726900,32.6126,16,true,true
op-281,1783280974187821700,1783280974218536600,30.7149,16,true,true
op-282,1783280974208235400,1783280974246888400,38.6530,16,true,true
op-283,1783280974228533400,1783280974261587200,33.0538,16,true,true
op-284,1783280974249031800,1783280974285445600,36.4138,16,true,true
op-285,1783280974269256200,1783280974303754300,34.4981,16,true,true
op-286,1783280974289572900,1783280974319984300,30.4114,16,true,true
op-287,1783280974310136600,1783280974346435800,36.2992,16,true,true
op-288,1783280974330606900,1783280974372715300,42.1084,16,true,true
op-289,1783280974350645500,1783280974386095100,35.4496,16,true,true
op-290,1783280974370826500,1783280974405171300,34.3448,16,true,true
op-291,1783280974391431700,1783280974421641900,30.2102,16,true,true
op-292,1783280974411812600,1783280974442448700,30.6361,16,true,true
op-293,1783280974432917500,1783280974470718300,37.8008,16,true,true
op-294,1783280974453374500,1783280974483871400,30.4969,16,true,true
op-295,1783280974473718300,1783280974512235400,38.5171,16,true,true
op-296,1783280974494403600,1783280974527374200,32.9706,16,true,true
op-297,1783280974515744100,1783280974549144200,33.4001,16,true,true
op-298,1783280974536325900,1783280974570973200,34.6473,16,true,true
op-299,1783280974557049800,1783280974590966100,33.9163,16,true,true
